date,n1,n2,n3,n4,n5,n6
2019-02-20,58,39,27,7,24,12
2019-02-16,44,1,31,53,46,58
2019-02-13,31,20,47,43,2,11
2019-02-09,47,59,14,56,50,15
2019-02-06,27,21,3,11,15,49
2019-02-02,37,8,17,29,10,40
2019-01-30,38,41,20,24,25,13
2019-01-26,42,49,26,31,19,21
2019-01-23,41,11,12,46,20,40
2019-01-19,28,43,4,29,52,30
2019-01-17,21,19,1,9,34,54
2019-01-15,19,40,35,44,27,4
2019-01-12,35,17,30,25,42,57
2019-01-09,11,21,46,14,25,50
2019-01-05,17,46,43,53,52,39
2019-01-02,54,41,1,46,58,44
2018-12-31,25,33,10,12,18,5
2018-12-20,4,16,44,49,12,34
2018-12-18,44,59,29,19,41,22
2018-12-15,50,44,60,38,56,8
2018-12-12,27,3,39,40,36,43
2018-12-08,16,46,13,11,24,31
2018-12-06,12,45,10,56,2,27
2018-12-04,13,40,50,46,3,44
2018-12-01,6,4,17,57,34,51
2018-11-28,58,56,18,8,2,37
2018-11-24,1,35,13,11,10,49
2018-11-21,30,15,5,58,20,27
2018-11-17,2,38,27,60,18,8
2018-11-14,51,28,24,49,9,45
2018-11-10,11,51,6,24,13,19
2018-11-07,49,29,56,43,35,16
2018-11-03,4,33,16,44,19,31
2018-10-31,54,34,52,8,14,27
2018-10-27,13,17,27,11,15,22
2018-10-25,12,11,10,59,38,37
2018-10-23,11,8,18,40,37,51
2018-10-20,38,48,5,49,10,32
2018-10-17,24,3,27,38,14,56
2018-10-13,19,18,53,34,2,23
2018-10-10,4,53,35,43,47,46
2018-10-06,25,49,12,21,38,37
2018-10-03,20,37,26,7,39,38
2018-09-29,56,33,1,19,18,60
2018-09-26,25,33,42,49,6,48
2018-09-22,40,42,13,18,35,41
2018-09-20,58,55,46,22,40,10
2018-09-18,55,37,58,14,2,1
2018-09-15,30,36,2,11,39,15
2018-09-12,37,13,16,26,39,35
2018-09-08,6,15,43,5,12,22
2018-09-05,7,9,23,33,57,59
2018-09-01,42,8,18,37,58,23
2018-08-29,55,12,15,30,52,18
2018-08-25,22,13,10,20,12,54
2018-08-22,35,46,34,60,24,33
2018-08-18,5,26,42,27,48,34
2018-08-16,40,3,48,17,34,35
2018-08-14,5,47,40,9,42,3
2018-08-11,59,2,11,32,26,13
2018-08-08,27,55,35,6,25,45
2018-08-04,4,11,43,20,30,37
2018-08-01,55,53,14,10,36,60
2018-07-28,10,19,29,24,6,25
2018-07-25,8,15,34,25,10,23
2018-07-21,33,45,44,40,36,54
2018-07-18,11,39,41,9,25,8
2018-07-14,5,4,36,56,40,44
2018-07-11,19,4,23,29,59,56
2018-07-07,37,38,20,13,10,54
2018-07-05,29,47,22,36,34,18
2018-07-03,53,43,46,25,35,6
2018-06-30,39,4,7,12,26,22
2018-06-27,12,27,40,37,22,55
2018-06-23,57,50,56,51,58,59
2018-06-20,37,5,44,1,53,6
2018-06-16,33,50,38,32,8,31
2018-06-13,19,10,27,31,51,53
2018-06-09,10,39,38,35,26,19
2018-06-06,18,19,44,54,1,29
2018-06-02,27,11,6,28,46,3
2018-05-30,27,46,15,25,50,45
2018-05-26,14,7,60,54,47,56
2018-05-23,53,58,21,38,57,56
2018-05-19,33,32,22,29,35,14
2018-05-16,10,12,54,42,22,25
2018-05-12,56,58,54,6,41,9
2018-05-10,28,22,6,31,44,12
2018-05-08,26,35,40,25,6,38
2018-05-05,60,30,14,45,23,16
2018-05-02,23,58,8,19,27,7
2018-04-28,52,35,49,30,38,36
2018-04-25,7,56,22,13,6,17
2018-04-20,40,10,18,33,38,43
2018-04-17,19,39,20,53,14,6
2018-04-14,23,39,18,55,50,37
2018-04-11,38,4,58,40,27,59
2018-04-07,15,37,18,33,40,6
2018-04-04,7,42,58,36,24,11
2018-03-31,11,15,39,37,29,44
2018-03-28,51,33,23,52,31,10
2018-03-24,52,56,4,24,46,55
2018-03-21,29,16,20,35,47,23
2018-03-17,23,56,8,7,1,6
2018-03-14,28,60,52,45,4,48
2018-03-10,32,37,40,60,7,14
2018-03-07,2,46,57,60,48,36
2018-03-03,41,46,54,59,23,52
2018-02-28,55,11,27,22,25,59
2018-02-24,56,10,11,2,38,24
2018-02-21,11,17,48,18,4,21
2018-02-17,18,58,32,39,27,17
2018-02-14,46,32,16,56,40,53
2018-02-10,6,36,53,30,56,23
2018-02-08,11,51,36,8,35,27
2018-02-06,28,35,58,54,2,32
2018-02-03,18,56,8,34,39,10
2018-01-31,1,48,50,44,37,46
2018-01-27,27,22,58,33,59,42
2018-01-24,41,14,54,4,39,58
2018-01-20,20,9,1,14,54,25
2018-01-17,22,19,33,11,53,34
2018-01-13,45,35,1,23,5,14
2018-01-10,40,50,43,28,51,34
2018-01-06,59,46,28,38,4,30
2018-01-03,22,20,52,60,42,36
2017-12-31,6,37,34,10,3,17
2017-12-21,42,38,49,15,50,37
2017-12-19,57,21,24,52,25,8
2017-12-16,14,7,35,1,31,46
2017-12-13,56,21,20,7,40,24
2017-12-09,14,37,39,26,35,29
2017-12-06,44,5,32,2,12,40
2017-12-02,50,57,48,17,6,33
2017-11-29,21,11,13,53,54,5
2017-11-25,19,34,44,36,20,28
2017-11-22,37,26,11,24,59,34
2017-11-18,40,58,30,32,15,22
2017-11-16,5,39,10,54,46,42
2017-11-11,10,58,14,45,31,34
2017-11-09,55,23,44,43,36,56
2017-11-07,9,36,29,28,34,55
2017-11-04,43,32,21,50,35,29
2017-11-01,14,22,6,5,10,36
2017-10-28,46,24,20,4,50,14
2017-10-25,15,6,39,19,37,53
